#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 10:03:51 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
21.468	398	21.493	630
21.519	401	21.544	650
21.569	406	21.595	661
21.620	411	21.646	664
21.670	414	21.696	658
21.722	418	21.747	642
21.772	421	21.797	616
21.823	424	21.849	585
21.873	426	21.899	547
21.924	426	21.950	506
21.975	425	22.000	464
22.026	423	22.051	424
22.076	421	22.101	384
22.127	419	22.153	351
22.177	413	22.203	325
22.228	408	22.254	307
22.279	403	22.304	298
22.330	397	22.355	299
22.381	391	22.406	308
22.431	387	22.457	327
22.482	382	22.507	355
22.533	378	22.558	386
22.584	376	22.608	424
22.634	374	22.660	465
22.685	375	22.710	507
22.735	376	22.761	545
22.787	381	22.811	583
22.837	386	22.862	614
22.888	391	22.912	637
22.938	398	22.964	652
22.989	407	23.014	659
23.039	413	23.065	657
23.091	421	23.115	645
23.141	427	23.166	625
23.192	433	23.217	597
23.242	438	23.268	563
23.293	441	23.318	524
23.344	441	23.369	484
23.395	440	23.419	444
23.445	437	23.471	404
23.496	433	23.521	370
23.546	426	23.572	341
23.598	418	23.622	319
23.648	409	23.673	307
23.699	400	23.724	304
23.749	391	23.775	309
23.800	383	23.825	323
23.850	375	23.876	345
23.902	368	23.926	374
23.952	363	23.977	409
24.003	361	24.028	447
24.053	359	24.079	487
24.104	362	24.129	528
24.155	365	24.180	563
24.206	372	24.230	597
24.256	380	24.282	622
24.307	389	24.332	641
24.357	399	24.383	651
24.409	409	24.433	653
24.459	420	24.484	645
24.510	431	24.535	629
24.560	440	24.586	606
24.611	448	24.636	575
24.661	453	24.687	539
24.713	455	24.737	501
24.763	456	24.788	462
24.814	453	24.839	424
24.864	447	24.890	389
24.915	440	24.940	359
24.966	431	24.991	334
25.017	419	25.041	319
25.067	408	25.093	312
25.118	395	25.143	313
25.168	383	25.194	322
25.220	371	25.244	340
25.270	362	25.295	366
25.321	353	25.346	397
25.371	348	25.397	432
25.422	346	25.448	469
25.472	347	25.498	508
25.524	350	25.549	545
25.574	357	25.599	577
25.625	366	25.651	605
25.675	378	25.701	627
25.726	390	25.752	639
25.777	403	25.802	646
25.828	418	25.853	642
25.878	431	25.904	630
25.929	443	25.955	610
25.979	454	26.005	584
26.031	462	26.056	553
26.081	468	26.106	518
26.132	468	26.158	480
26.182	467	26.208	443
26.233	463	26.259	408
26.284	455	26.309	377
26.335	444	26.360	351
26.385	432	26.410	332
26.436	417	26.462	322
26.486	401	26.512	319
26.537	386	26.563	326
26.588	372	26.613	339
26.639	358	26.664	360
26.689	347	26.715	387
26.740	340	26.766	418
26.790	334	26.816	455
26.842	333	26.867	490
26.892	335	26.917	526
26.943	342	26.969	558
26.993	351	27.019	588
27.044	364	27.070	611
27.095	377	27.120	626
27.146	395	27.171	634
27.196	412	27.221	636
27.247	428	27.273	628
27.297	444	27.323	612
27.348	457	27.374	589
27.399	469	27.424	563
27.450	476	27.475	530
27.500	482	27.526	496
27.551	481	27.577	461
27.601	477	27.627	428
27.653	470	27.678	396
27.703	458	27.728	369
27.754	445	27.780	349
27.804	428	27.830	336
27.855	411	27.881	330
27.906	392	27.931	331
27.957	375	27.982	341
28.007	357	28.032	358
28.058	343	28.084	381
28.108	332	28.134	408
28.159	325	28.185	440
28.210	322	28.235	474
28.261	322	28.286	509
28.311	327	28.337	540
28.362	336	28.388	569
28.412	349	28.438	593
28.464	365	28.489	611
28.514	382	28.539	622
28.565	402	28.591	626
28.615	422	28.641	622
28.666	441	28.692	611
28.717	457	28.742	593
28.768	472	28.793	570
28.818	484	28.844	541
28.869	490	28.895	510
28.919	493	28.945	476
