#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 10:03:51 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
27.298	471	27.323	451
27.348	464	27.373	450
27.399	454	27.425	451
27.449	444	27.475	450
27.500	432	27.526	451
27.551	424	27.576	451
27.602	412	27.627	451
27.652	406	27.678	450
27.703	399	27.729	450
27.753	395	27.779	450
27.804	393	27.830	451
27.855	393	27.880	450
27.906	396	27.931	450
27.956	400	27.982	450
28.007	407	28.033	450
28.057	415	28.083	450
28.109	425	28.134	450
28.159	434	28.184	450
28.210	445	28.236	450
28.260	454	28.286	451
28.311	464	28.337	450
28.362	470	28.387	450
28.413	476	28.438	451
28.463	480	28.489	450
28.514	482	28.540	451
28.564	481	28.590	450
28.615	479	28.641	451
28.666	474	28.691	450
28.717	467	28.742	450
28.767	461	28.793	450
28.818	451	28.844	450
28.868	443	28.894	450
28.920	432	28.945	450
28.970	424	28.995	450
29.021	414	29.047	450
29.071	407	29.097	450
29.122	402	29.148	451
29.173	398	29.198	450
29.224	397	29.249	450
29.274	398	29.300	451
29.325	401	29.351	450
29.375	404	29.401	451
29.427	411	29.452	450
29.477	418	29.502	450
29.528	427	29.553	450
29.578	435	29.604	450
29.629	445	29.655	450
29.679	453	29.705	451
29.731	461	29.756	449
29.781	468	29.806	450
29.832	473	29.858	450
29.882	476	29.908	450
29.933	477	29.959	450
29.984	477	30.009	451
30.035	475	30.060	450
30.085	471	30.111	450
30.136	464	30.162	449
30.186	457	30.212	450
30.238	449	30.263	451
30.288	441	30.313	450
30.339	432	30.364	450
30.389	424	30.415	450
30.440	416	30.466	450
30.490	410	30.516	450
30.542	405	30.567	450
30.592	401	30.617	450
30.643	402	30.669	450
30.693	402	30.719	450
30.744	405	30.770	450
30.795	408	30.820	450
30.846	414	30.871	451
30.896	421	30.922	450
30.947	429	30.973	449
30.997	437	31.023	450
31.049	446	31.074	450
31.099	453	31.124	450
31.150	460	31.175	450
31.200	465	31.226	450
31.251	470	31.277	450
31.301	473	31.327	450
31.353	473	31.378	451
31.403	473	31.428	451
31.454	470	31.480	451
31.504	467	31.530	451
31.555	461	31.581	450
31.606	455	31.631	450
31.657	447	31.682	450
31.707	439	31.733	451
31.758	431	31.784	450
