#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 10:03:51 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
21.620	298	21.645	613
21.670	268	21.696	645
21.721	244	21.747	669
21.771	229	21.797	681
21.823	222	21.848	684
21.873	224	21.898	676
21.924	237	21.949	656
21.974	259	22.000	627
22.025	287	22.051	590
22.075	323	22.101	548
22.127	362	22.152	500
22.177	403	22.202	452
22.228	445	22.254	406
22.278	483	22.304	365
22.329	517	22.355	329
22.380	544	22.405	301
22.431	564	22.456	281
22.481	574	22.507	274
22.532	576	22.558	277
22.582	568	22.608	291
22.634	550	22.659	315
22.684	525	22.709	345
22.735	494	22.760	384
22.785	457	22.811	426
22.836	416	22.862	473
22.886	375	22.912	522
22.938	336	22.963	566
22.988	300	23.013	607
23.039	270	23.065	640
23.089	246	23.115	664
23.140	231	23.166	676
23.191	226	23.216	679
23.242	229	23.267	674
23.292	242	23.318	656
23.343	263	23.369	628
23.393	291	23.419	592
23.445	326	23.470	551
23.495	365	23.520	504
23.546	405	23.571	458
23.596	446	23.622	413
23.647	483	23.673	371
23.697	516	23.723	334
23.749	543	23.774	306
23.799	561	23.824	287
23.850	571	23.876	280
23.900	573	23.926	281
23.951	564	23.977	292
24.002	546	24.027	314
24.053	521	24.078	345
24.103	490	24.129	382
24.154	454	24.180	423
24.204	415	24.230	470
24.256	375	24.281	515
24.306	336	24.331	560
24.357	300	24.383	600
24.407	271	24.433	633
24.458	249	24.484	657
24.508	236	24.534	672
24.560	229	24.585	675
24.610	232	24.635	670
24.661	246	24.687	654
24.711	267	24.737	627
24.762	295	24.788	594
24.813	329	24.838	553
24.864	367	24.889	508
24.914	407	24.940	462
24.965	446	24.991	418
25.015	482	25.041	377
25.067	514	25.092	341
25.117	541	25.142	313
25.168	559	25.194	292
25.218	568	25.244	283
25.269	569	25.295	285
25.319	560	25.345	295
25.371	543	25.396	316
25.421	518	25.446	344
25.472	486	25.498	379
25.522	451	25.548	421
25.573	412	25.599	465
25.624	374	25.649	510
25.675	336	25.700	555
25.725	302	25.751	593
25.776	272	25.802	626
25.826	251	25.852	651
25.878	238	25.903	666
25.928	232	25.953	670
25.979	235	26.005	666
26.029	249	26.055	651
26.080	270	26.106	626
26.130	299	26.156	594
26.182	331	26.207	555
26.232	369	26.257	512
26.283	407	26.309	467
26.333	447	26.359	423
26.384	483	26.410	383
26.436	515	26.460	347
26.486	540	26.511	318
26.537	557	26.562	299
26.587	566	26.613	290
26.638	566	26.663	290
26.689	558	26.714	299
26.740	541	26.764	318
26.790	517	26.816	345
26.841	484	26.866	380
26.891	449	26.917	418
26.943	410	26.967	461
26.993	372	27.018	505
27.044	335	27.068	549
27.094	301	27.120	587
27.145	274	27.170	620
27.195	252	27.221	645
27.247	240	27.271	660
27.297	234	27.322	664
27.348	239	27.373	662
27.398	252	27.424	648
27.449	273	27.474	625
27.500	301	27.525	595
27.551	334	27.575	556
27.601	371	27.627	515
27.652	410	27.677	471
27.702	447	27.728	429
27.754	483	27.778	389
27.804	514	27.829	354
27.855	539	27.879	325
27.905	556	27.931	305
27.956	563	27.981	295
28.006	564	28.032	295
28.058	555	28.082	303
28.108	539	28.133	320
28.159	513	28.184	346
28.209	483	28.235	379
28.260	447	28.285	417
28.311	411	28.336	458
28.362	371	28.386	501
28.412	335	28.438	543
28.463	301	28.488	582
28.513	274	28.539	614
28.565	254	28.589	638
28.615	241	28.640	654
28.666	236	28.690	659
28.716	240	28.742	658
28.767	254	28.792	644
28.817	275	28.843	623
28.869	302	28.893	593
28.919	335	28.944	557
28.970	372	28.995	516
29.020	410	29.046	474
29.071	448	29.096	432
29.122	483	29.147	394
29.173	513	29.197	360
29.223	538	29.249	332
29.274	554	29.299	311
29.324	563	29.350	301
29.376	563	29.400	301
29.426	554	29.451	307
29.477	537	29.501	323
29.527	512	29.553	348
29.578	481	29.604	380
29.628	447	29.654	416
29.680	409	29.705	455
29.730	371	29.755	497
29.781	335	29.807	539
29.831	302	29.857	575
29.882	275	29.908	607
29.933	255	29.958	632
29.984	242	30.009	648
30.034	237	30.060	653
30.085	242	30.111	652
30.135	256	30.161	641
30.187	277	30.212	620
30.237	304	30.262	592
30.288	336	30.314	557
30.338	372	30.364	518
30.389	410	30.415	477
30.439	448	30.465	436
