#Creator: pendulumEventBuffer
#Creation time: Mon Mar 21 09:33:57 2022
#Time	Period	Transit time
#[s]	[s]	[s]
392.297462	2.128312	0.050940
393.361655	2.128363	0.051002
394.425825	2.128313	0.051114
395.489968	2.128291	0.051240
396.554116	2.128304	0.051344
397.618272	2.128275	0.051436
398.682391	2.128236	0.051538
399.746508	2.128370	0.051660
400.810761	2.128304	0.051810
401.874812	2.128059	0.051928
402.938820	2.128155	0.052024
404.002967	2.128266	0.052130
405.067086	2.128237	0.052224
406.131204	2.128239	0.052324
407.195325	2.128199	0.052438
408.259403	2.128183	0.052570
409.323508	2.128169	0.052688
410.387572	2.128256	0.052812
411.451764	2.128324	0.052892
412.515896	2.128072	0.052968
413.579836	2.127974	0.053112
414.643870	2.128109	0.053248
415.707945	2.128137	0.053362
416.772007	2.128129	0.053474
417.836074	2.128124	0.053564
418.900131	2.128107	0.053658
419.964181	2.128093	0.053806
421.028224	2.128094	0.053964
422.092275	2.128106	0.054074
423.156330	2.128094	0.054144
424.220369	2.128065	0.054246
425.284395	2.128071	0.054406
426.348440	2.128055	0.054540
427.412450	2.128033	0.054636
428.476473	2.128040	0.054738
429.540490	2.128006	0.054852
430.604479	2.127975	0.054974
431.668465	2.128032	0.055130
432.732511	2.128038	0.055386
433.796503	2.128010	0.055474
434.860521	2.127989	0.055454
435.924492	2.127960	0.055580
436.988481	2.127987	0.055706
438.052479	2.127989	0.055822
439.116470	2.127961	0.055932
440.180440	2.127971	0.056060
441.244441	2.127980	0.056194
442.308420	2.127968	0.056312
443.372409	2.127930	0.056450
444.436350	2.127881	0.056576
445.500290	2.127926	0.056680
446.564276	2.127958	0.056800
447.628248	2.127900	0.056932
448.692176	2.127903	0.057068
449.756151	2.127854	0.057158
450.820030	2.127829	0.057244
451.883980	2.127915	0.057424
452.947945	2.127888	0.057566
454.011868	2.127866	0.057684
455.075811	2.127863	0.057814
456.139731	2.127839	0.057914
457.203650	2.127872	0.058040
458.267603	2.127871	0.058190
459.331521	2.127795	0.058286
460.395398	2.127771	0.058388
461.459292	2.127830	0.058544
462.523228	2.127828	0.058672
463.587120	2.127926	0.058800
464.651154	2.127885	0.058940
465.715005	2.127714	0.059098
466.778868	2.127813	0.059196
467.842818	2.127691	0.059284
468.906559	2.127556	0.059470
469.970374	2.127787	0.059600
471.034346	2.127857	0.059692
472.098231	2.127806	0.059826
473.162152	2.127759	0.059952
474.225990	2.127692	0.060052
475.289844	2.127727	0.060188
476.353717	2.127665	0.060338
477.417509	2.127611	0.060486
478.481328	2.127696	0.060656
479.545205	2.127753	0.060786
480.609081	2.127734	0.060898
481.672939	2.127721	0.061010
482.736802	2.127709	0.061116
483.800648	2.127659	0.061232
484.864461	2.127647	0.061402
485.928295	2.127663	0.061558
486.992124	2.127688	0.061664
488.055983	2.127683	0.061770
489.119807	2.127645	0.061906
490.183628	2.127649	0.062060
491.247456	2.127664	0.062184
492.311292	2.127623	0.062332
493.375079	2.127629	0.062466
494.438921	2.127674	0.062566
495.502753	2.127607	0.062698
496.566528	2.127582	0.062868
497.630335	2.127616	0.063018
498.694144	2.127591	0.063156
499.757926	2.127583	0.063288
500.821727	2.127597	0.063422
501.885523	2.127570	0.063594
502.949297	2.127556	0.063726
504.013079	2.127574	0.063842
505.076871	2.127556	0.063958
506.140635	2.127546	0.064090
507.204417	2.127535	0.064246
508.268170	2.127541	0.064384
509.331958	2.127572	0.064524
510.395742	2.127515	0.064676
511.459473	2.127481	0.064846
512.523223	2.127525	0.064990
513.586998	2.127387	0.065104
514.650610	2.127415	0.065268
515.714413	2.127690	0.065406
516.778300	2.127628	0.065524
517.842041	2.127492	0.065678
518.905792	2.127486	0.065812
519.969527	2.127456	0.065930
521.033248	2.127498	0.066060
522.097025	2.127480	0.066222
523.160728	2.127525	0.066376
524.224550	2.127533	0.066500
525.288261	2.127360	0.066646
526.351910	2.127378	0.066848
527.415639	2.127463	0.067014
528.479373	2.127434	0.067130
529.543073	2.127415	0.067262
530.606788	2.127420	0.067400
531.670493	2.127427	0.067554
532.734215	2.127440	0.067698
533.797933	2.127425	0.067846
534.861640	2.127418	0.068004
535.925351	2.127458	0.068034
536.989098	2.127394	0.068172
538.052745	2.127323	0.068434
539.116421	2.127344	0.068582
540.180089	2.127255	0.068722
541.243676	2.127249	0.068868
542.307338	2.127415	0.069040
543.371091	2.127448	0.069218
544.434786	2.127410	0.069352
545.498501	2.127345	0.069482
546.562131	2.127344	0.069642
547.625845	2.127351	0.069822
548.689482	2.127313	0.069952
549.753158	2.127316	0.070092
550.816798	2.127267	0.070268
551.880425	2.127262	0.070406
552.944060	2.127351	0.070536
554.007776	2.127366	0.070664
555.071426	2.127300	0.070844
556.135076	2.127294	0.071032
557.198720	2.127299	0.071188
558.262375	2.127276	0.071334
559.325996	2.127234	0.071492
560.389609	2.127228	0.071662
561.453224	2.127270	0.071832
562.516879	2.127290	0.071946
563.580514	2.127246	0.072068
564.644125	2.127068	0.072274
565.707582	2.127203	0.072416
566.771328	2.127308	0.072572
567.834890	2.127125	0.072808
568.898453	2.127335	0.072970
569.962225	2.127344	0.073086
571.025797	2.127157	0.073246
572.089382	2.127186	0.073404
573.152983	2.127111	0.073578
574.216493	2.127127	0.073706
575.280110	2.127230	0.073872
576.343723	2.127258	0.074082
577.407368	2.127215	0.074228
578.470938	2.127178	0.074364
579.534546	2.127178	0.074540
580.598116	2.127164	0.074728
581.661710	2.127157	0.074896
582.725273	2.127143	0.075066
583.788853	2.127148	0.075222
584.852421	2.127148	0.075382
585.916001	2.127145	0.075550
586.979566	2.127142	0.075720
588.043143	2.127152	0.075902
589.106718	2.127127	0.076068
590.170270	2.127092	0.076232
591.233810	2.127284	0.076396
592.297554	2.127281	0.076892
593.361091	2.126945	0.077070
594.424499	2.126951	0.076914
595.488042	2.127103	0.077088
596.551602	2.127056	0.077248
597.615098	2.127092	0.077428
598.678694	2.127114	0.077628
599.742212	2.127083	0.077828
600.805777	2.127079	0.077970
601.869291	2.127081	0.078094
602.932858	2.127039	0.078280
603.996330	2.126915	0.078420
605.059773	2.127170	0.078618
606.123500	2.127174	0.078864
607.186947	2.126879	0.078982
608.250379	2.127045	0.079114
609.313992	2.127089	0.079364
610.377468	2.127008	0.079540
611.441000	2.127036	0.079648
612.504504	2.127030	0.079844
613.568030	2.126994	0.080084
614.631498	2.126917	0.080308
615.694947	2.126977	0.080490
616.758475	2.127076	0.080610
617.822023	2.126991	0.080762
618.885466	2.126927	0.080956
619.948950	2.127003	0.081156
621.012469	2.126975	0.081354
622.075925	2.126850	0.081546
623.139319	2.126957	0.081730
624.202882	2.127099	0.081876
625.266418	2.126854	0.082072
626.329736	2.126837	0.082296
627.393255	2.127120	0.082506
628.456856	2.126957	0.082680
629.520212	2.126783	0.082840
630.583639	2.127004	0.083002
631.647216	2.127002	0.083160
632.710641	2.126908	0.083358
633.774124	2.126905	0.083636
634.837546	2.126830	0.083860
635.900954	2.126842	0.084004
636.964388	2.126830	0.084160
638.027784	2.126840	0.084352
639.091228	2.126929	0.084576
640.154713	2.126836	0.084774
641.218064	2.126821	0.084976
642.281534	2.126947	0.085144
643.345011	2.126834	0.085298
644.408368	2.126790	0.085516
645.471801	2.126821	0.085714
646.535189	2.126850	0.085902
647.598651	2.126884	0.086110
648.662073	2.126830	0.086342
649.725481	2.126770	0.086506
650.788843	2.126797	0.086662
651.852278	2.126812	0.086908
652.915655	2.126819	0.087126
653.979097	2.126824	0.087350
655.042479	2.126738	0.087546
656.105835	2.126773	0.087746
657.169252	2.126800	0.087928
658.232635	2.126763	0.088098
659.296015	2.126711	0.088282
660.359346	2.126736	0.088596
661.422751	2.126890	0.088834
662.486236	2.126841	0.088980
663.549592	2.126802	0.089192
664.613038	2.126742	0.089428
665.676334	2.126747	0.089620
666.739785	2.126803	0.089774
667.803137	2.126741	0.089982
